Key,FamilyCount,Family1,Family2,Family3,IconBtn,CharType,BrawlerID,Name,IconImg,CharName,CharDesc,filename,Class,GradeNum,Grade,GradeColor,Health,Speed,Speed_Text,Shield,SuperCharge_Auto,SuperCharge_fromDmg,NormalSkill_Count,NormalSkill1,NormalSkill2,NormalSkill3,NormalSkill4,NormalSkill5,SuperSkill_Count,SuperSkill1,SuperSkill2,SuperSkill3,SuperSkill4,SuperSkill5,StarPowerSkill1,StarPowerSkill2,GadgetSkill1,GadgetSkill2,HyperSkill,Hyper_Damage,Hyper_Speed,Hyper_Shield,Hyper_isBuddy,Tag,
110,,,,,,hero,110001,BowDude,face/face_bo,TID_BOW_DUDE,TID_BOW_DUDE_DESC,bo,controller,4,epic,FB00FFFF,3800,750,매우 빠름,,,,1,1100011,,,,,1,1100021,,,,,1100031,1100032,1100041,1100042,1100051,5,20,5,1,"cc,cc,",
120,,,,,,hero,120001,TntDude,face/face_dynamike,TID_TNT_DUDE,TID_TNT_DUDE_DESC,dynamike,artillery,3,super_rare,0B54FFFF,3000,800,매우 빠름,,,,1,1200011,,,,,1,1200021,,,,,1200031,1200032,1200041,1200042,1200051,5,20,5,0,"cc,",
130,,,,,,hero,130001,Undertaker,face/face_mortis,TID_UNDERTAKER,TID_UNDERTAKER_DESC,mortis,assassin,5,mega_epic,FF003CFF,4000,855,매우 빠름,,,,1,1300011,,,,,1,1300021,,,,,1300031,1300032,1300041,1300042,1300051,5,20,5,1,"heal(s),heal(s),",
140,,,,,,hero,140001,Cactus,face/face_spike,TID_CACTUS,TID_CACTUS_DESC,spike,damage_dealer,6,legendary,FFEE0BFF,3000,750,매우 빠름,,,,1,1400011,,,,,1,1400021,,,,,1400031,1400032,1400041,1400042,1400051,5,20,5,1,"cc,heal(s),heal(t),",
150,,,,,,hero,150001,Crow,face/face_crow,TID_CROW,TID_CROW_DESC,crow,assassin,6,legendary,FFEE0BFF,2800,855,매우 빠름,,,,1,1500011,,,,,1,1500021,,,,,1500031,1500032,1500041,1500042,1500051,5,20,5,1,"cc,",
160,,,,,,hero,160001,Sniper,face/face_piper,TID_SNIPER,TID_SNIPER_DESC,piper,marksman,4,epic,FB00FFFF,2800,750,매우 빠름,,,,1,1600011,,,,,1,1600021,,,,,1600031,1600032,1600041,1600042,1600051,5,20,5,0,"break,cc,",
170,,,,,,hero,170001,MinigunDude,face/face_pam,TID_MINIGUN_DUDE,TID_MINIGUN_DUDE_DESC,pam,support,4,epic,FB00FFFF,5000,750,매우 빠름,,,,1,1700011,,,,,1,1700021,,,,,1700031,1700032,1700041,1700042,1700051,5,20,5,0,"heal(s),heal(t),heal(s),heal(t),heal(s),heal(t),",
180,,,,,,hero,180001,BlackHole,face/face_tara,TID_BLACK_HOLE,TID_BLACK_HOLE_DESC,tara,damage_dealer,5,mega_epic,FF003CFF,3300,750,매우 빠름,,,,1,1800011,,,,,1,1800021,,,,,1800031,1800032,1800041,1800042,1800051,5,20,5,0,"cc,heal(s),heal(t),",
190,,,,,,hero,190001,BarrelBot,face/face_darryl,TID_BARREL_BOT,TID_BARREL_BOT_DESC,darryl,tank,3,super_rare,0B54FFFF,5500,800,매우 빠름,,,,1,1900011,,,,,1,1900021,,,,,1900031,1900032,1900041,1900042,1900051,5,20,5,0,"cc,cc,auto,",
200,,,,,,hero,200001,ArtilleryDude,face/face_penny,TID_ARTILLERY_DUDE,TID_ARTILLERY_DUDE_DESC,penny,controller,3,super_rare,0B54FFFF,3500,750,매우 빠름,,,,1,2000011,,,,,1,2000021,,,,,2000031,2000032,2000041,2000042,2000051,5,20,5,0,"cc,",
210,,,,,,hero,210001,HammerDude,face/face_frank,TID_HAMMER_DUDE,TID_HAMMER_DUDE_DESC,frank,tank,4,epic,FB00FFFF,6800,800,매우 빠름,,,240,1,2100011,,,,,1,2100021,,,,,2100031,2100032,2100041,2100042,2100051,5,20,5,1,"cc,break,cc,tank,",
220,,,,,,hero,220001,Ninja,face/face_leon,TID_NINJA,TID_NINJA_DESC,leon,assassin,6,legendary,FFEE0BFF,3300,855,매우 빠름,,,,1,2200011,,,,,1,2200021,,,,,2200031,2200032,2200041,2200042,2200051,5,20,5,1,"heal(s),",
230,,,,,,hero,230001,HookDude,face/face_gene,TID_HOOK,TID_HOOK_DESC,gene,controller,5,mega_epic,FF003CFF,3800,750,매우 빠름,,,,1,2300011,,,,,1,2300021,,,,,2300031,2300032,2300041,2300042,2300051,5,20,5,0,"cc,heal(t),cc,heal(s),",
240,,,,,,hero,240001,Whirlwind,face/face_carl,TID_WHIRLWIND,TID_WHIRLWIND_DESC,carl,damage_dealer,3,super_rare,0B54FFFF,4200,750,매우 빠름,,,,1,2400011,,,,,1,2400021,,,,,2400031,2400032,2400041,2400042,2400051,5,20,5,0,,
250,,,,,,hero,250001,Rosa,face/face_rosa,TID_ROSA,TID_ROSA_DESC,rosa,tank,2,rare,0BFF21FF,5400,800,매우 빠름,,,240,1,2500011,,,,,1,2500021,,,,,2500031,2500032,2500041,2500042,2500051,5,20,5,0,"heal(s),cc,tank,",
260,,,,,,hero,260001,Baseball,face/face_bibi,TID_BASEBALL,TID_BASEBALL_DESC,bibi,tank,4,epic,FB00FFFF,5000,855,매우 빠름,,,,1,2600011,,,,,1,2600021,,,,,2600031,2600032,2600041,2600042,2600051,5,20,5,1,"cc,",
270,,,,,,hero,270001,ClusterBombDude,face/face_tick,TID_CLUSTER_BOMB_DUDE,TID_CLUSTER_BOMB_DUDE_DESC,tick,artillery,3,super_rare,0B54FFFF,2400,750,매우 빠름,,,,1,2700011,,,,,1,2700021,,,,,2700031,2700032,2700041,2700042,2700051,5,20,5,0,"break,",
280,,,,,,hero,280001,Arcade,face/face_8bit,TID_ARCADE,TID_ARCADE_DESC,8bit,damage_dealer,3,super_rare,0B54FFFF,5200,600,매우 느림,,,,1,2800011,,,,,1,2800021,,,,,2800031,2800032,2800041,2800042,2800051,5,20,5,1,,
290,,,,,,hero,290001,Sandstorm,face/face_sandy,TID_SANDSTORM,TID_SANDSTORM_DESC,sandy,controller,6,legendary,FFEE0BFF,4100,800,매우 빠름,,,,1,2900011,,,,,1,2900021,,,,,2900031,2900032,2900041,2900042,2900051,5,20,5,0,"heal(s),heal(t),heal(s),cc,",
300,,,,,,hero,300001,Mummy,face/face_emz,TID_MUMMY,TID_MUMMY_DESC,emz,controller,4,epic,FB00FFFF,3900,750,매우 빠름,,,,1,3000011,,,,,1,3000021,,,,,3000031,3000032,3000041,3000042,3000051,5,20,5,1,"cc,heal(s),cc,",
310,,,,,,hero,310001,BeeSniper,face/face_bea,TID_BEE_SNIPER,TID_BEE_SNIPER_DESC,bea,marksman,4,epic,FB00FFFF,2800,750,매우 빠름,,,,1,3100011,,,,,1,3100021,,,,,3100031,3100032,3100041,3100042,3100051,5,20,5,0,"cc,cc,",
320,,,,,,hero,320001,Speedy,face/face_max,TID_SPEEDY,TID_SPEEDY_DESC,max,support,5,mega_epic,FF003CFF,3500,855,매우 빠름,,,,1,3200011,,,,,1,3200021,,,,,3200031,3200032,3200041,3200042,3200051,5,20,5,1,,
330,,,,,,hero,330001,SpawnerDude,face/face_mrp,TID_SPAWNER_DUDE,TID_SPAWNER_DUDE_DESC,mrp,controller,5,mega_epic,FF003CFF,3700,750,매우 빠름,,,,1,3300011,,,,,1,3300021,,,,,3300031,3300032,3300041,3300042,3300051,5,20,5,0,,
340,,,,,,hero,340001,Driller,face/face_jacky,TID_DRILLER,TID_DRILLER_DESC,jacky,tank,3,super_rare,0B54FFFF,5200,800,매우 빠름,,,240,1,3400011,,,,,1,3400021,,,,,3400031,3400032,3400041,3400042,3400051,5,20,5,0,"cc,tank,",
350,,,,,,hero,350001,Wally,face/face_sprout,TID_WALLY,TID_WALLY_DESC,sprout,artillery,5,mega_epic,FF003CFF,3200,750,매우 빠름,,,,1,3500011,,,,,1,3500021,,,,,3500031,3500032,3500041,3500042,3500051,5,20,5,0,"heal(s),",
360,,,,,,hero,360001,Blower,face/face_gale,TID_BLOWER,TID_BLOWER_DESC,gale,controller,4,epic,FB00FFFF,4000,750,매우 빠름,,,,1,3600011,,,,,1,3600021,,,,,3600031,3600032,3600041,3600042,3600051,5,20,5,0,"cc,cc,cc,cc,",
370,,,,,,hero,370001,Controller,face/face_nani,TID_CONTROLLER,TID_CONTROLLER_DESC,nani,marksman,4,epic,FB00FFFF,2500,750,매우 빠름,,,,1,3700011,,,,,1,3700021,,,,,3700031,3700032,3700041,3700042,3700051,5,20,5,0,,
380,,,,,,hero,380001,PowerLeveler,face/face_surge,TID_POWER_LEVELER,TID_POWER_LEVELER_DESC,surge,damage_dealer,6,legendary,FFEE0BFF,3300,705,매우 빠름,,,,1,3800011,,,,,1,3800021,,,,,3800031,3800032,3800041,3800042,3800051,5,20,5,1,,
390,,,,,,hero,390001,Percenter,face/face_colette,TID_PERCENTER,TID_PERCENTER_DESC,colette,damage_dealer,4,epic,FB00FFFF,3600,750,매우 빠름,,,,1,3900011,,,,,1,3900021,,,,,3900031,3900032,3900041,3900042,3900051,5,20,5,1,"cc,cc,",
400,,,,,,hero,400001,FireDude,face/face_amber,TID_FIRE_DUDE,TID_FIRE_DUDE_DESC,amber,controller,6,legendary,FFEE0BFF,3400,750,매우 빠름,,,,1,4000011,,,,,1,4000021,,,,,4000031,4000032,4000041,4000042,4000051,5,20,5,1,,
410,,,,,,hero,410001,IceDude,face/face_lou,TID_ICE_DUDE,TID_ICE_DUDE_DESC,lou,controller,5,mega_epic,FF003CFF,3500,750,매우 빠름,,,,1,4100011,,,,,1,4100021,,,,,4100031,4100032,4100041,4100042,4100051,5,20,5,0,"cc,cc,",
420,,,,,,hero,420001,SnakeOil,face/face_byron,TID_SNAKE_OIL,TID_SNAKE_OIL_DESC,byron,support,5,mega_epic,FF003CFF,2600,750,매우 빠름,,,,1,4200011,,,,,1,4200021,,,,,4200031,4200032,4200041,4200042,4200051,5,20,5,0,"heal(s),heal(t),heal(s),",
430,,,,,,hero,430001,Enrager,face/face_edgar,TID_ENRAGER,TID_ENRAGER_DESC,edgar,assassin,4,epic,FB00FFFF,3700,855,매우 빠름,,,,1,4300011,,,,,1,4300021,,,,,4300031,4300032,4300041,4300042,4300051,5,20,5,1,"heal(s),auto,",
440,,,,,,hero,440001,Ruffs,face/face_ruffs,TID_RUFFS,TID_RUFFS_DESC,ruffs,support,5,mega_epic,FF003CFF,3000,750,매우 빠름,,,,1,4400011,,,,,1,4400021,,,,,4400031,4400032,4400041,4400042,4400051,5,20,5,0,"break,",
450,,,,,,hero,450001,Roller,face/face_stu,TID_ROLLER,TID_ROLLER_DESC,stu,assassin,4,epic,FB00FFFF,3500,750,매우 빠름,,,,1,4500011,,,,,1,4500021,,,,,4500031,4500032,4500041,4500042,4500051,5,20,5,0,"heal(s),break,",
460,,,,,,hero,460001,ElectroSniper,face/face_belle,TID_ELECTRO_SNIPER,TID_ELECTRO_SNIPER_DESC,belle,marksman,4,epic,FB00FFFF,2900,750,매우 빠름,,,,1,4600011,,,,,1,4600021,,,,,4600031,4600032,4600041,4600042,4600051,5,20,5,0,"cc,",
470,,,,,,hero,470001,StickyBomb,face/face_squeak,TID_STICKY_BOMB,TID_STICKY_BOMB_DESC,squeak,controller,5,mega_epic,FF003CFF,3800,750,매우 빠름,,,,1,4700011,,,,,1,4700021,,,,,4700031,4700032,4700041,4700042,4700051,5,20,5,0,"cc,cc,",
480,,,,,,hero,480001,RopeDude,face/face_buzz,TID_ROPE_DUDE,TID_ROPE_DUDE_DESC,buzz,assassin,5,mega_epic,FF003CFF,5000,800,매우 빠름,,,,1,4800011,,,,,1,4800021,,,,,4800031,4800032,4800041,4800042,4800051,5,20,5,0,"cc,",
490,,,,,,hero,490001,AssaultShotgun,face/face_griff,TID_ASSAULT_SHOTGUN,TID_ASSAULT_SHOTGUN_DESC,griff,controller,4,epic,FB00FFFF,3700,750,매우 빠름,,,,1,4900011,,,,,1,4900021,,,,,4900031,4900032,4900041,4900042,4900051,5,20,5,1,"cc,break,",
500,,,,,,hero,500001,Knight,face/face_ash,TID_KNIGHT,TID_KNIGHT_DESC,ash,tank,4,epic,FB00FFFF,5900,750,매우 빠름,,,280,1,5000011,,,,,1,5000021,,,,,5000031,5000032,5000041,5000042,5000051,5,20,5,0,"cc,tank,",
510,2,510,511,,face/btn_icon_meg_0,hero,510001,MechaDude,face/face_meg,TID_MECHA_DUDE,TID_MECHA_DUDE_DESC,meg,tank,6,legendary,FFEE0BFF,2400,855,매우 빠름,,,,1,5100011,,,,,1,5100021,,,,,5100031,5100032,5100041,5100042,5100051,5,20,5,1,"cc,heal(s),",
511,2,510,511,,face/btn_icon_meg_1,pet,511001,MechaDudeBig,face/face_meg,TID_MECHA_DUDE,TID_MECHA_DUDE_DESC,meg,tank,6,legendary,FFEE0BFF,3700,750,매우 빠름,,,,1,5110011,,,,,1,5110021,,,,,5110031,5110032,5110041,5110042,5110051,5,20,5,1,"cc,heal(s),",
520,,,,,,hero,520001,Duplicator,face/face_lola,TID_DUPLICATOR,TID_DUPLICATOR_DESC,lola,damage_dealer,4,epic,FB00FFFF,4000,750,매우 빠름,,,,1,5200011,,,,,1,5200021,,,,,5200031,5200032,5200041,5200042,5200051,5,20,5,0,"heal(s),heal(t),heal(s),",
530,,,,,,hero,530001,CrossBomber,face/face_grom,TID_CROSS_BOMBER,TID_CROSS_BOMBER_DESC,grom,artillery,4,epic,FB00FFFF,3000,750,매우 빠름,,,,1,5300011,,,,,1,5300021,,,,,5300031,5300032,5300041,5300042,5300051,5,20,5,0,"cc,break,",
540,,,,,,hero,540001,KickerDude,face/face_fang,TID_KICKER_DUDE,TID_KICKER_DUDE_DESC,fang,assassin,5,mega_epic,FF003CFF,4800,800,매우 빠름,,,,1,5400011,,,,,1,5400021,,,,,5400031,5400032,5400041,5400042,5400051,5,20,5,0,"cc,",
550,,,,,,hero,550001,Flea,face/face_eve,TID_FLEA,TID_FLEA_DESC,eve,damage_dealer,5,mega_epic,FF003CFF,3100,750,매우 빠름,,,,1,5500011,,,,,1,5500021,,,,,5500031,5500032,5500041,5500042,5500051,5,20,5,0,,
560,,,,,,hero,560001,JetpackGirl,face/face_janet,TID_JETPACK_GIRL,TID_JETPACK_GIRL_DESC,janet,marksman,5,mega_epic,FF003CFF,3400,750,매우 빠름,,,,1,5600011,,,,,1,5600021,,,,,5600031,5600032,5600041,5600042,5600051,5,20,5,0,,
570,2,570,571,,face/btn_icon_bonnie_0,hero,570001,CannonGirl,face/face_bonnie,TID_CANNON_GIRL,TID_CANNON_GIRL_DESC,bonnie,marksman,4,epic,FB00FFFF,5000,630,매우 빠름,,,,1,5700011,,,,,1,5700021,,,,,5700031,5700032,5700041,5700042,5700051,5,20,5,0,,
571,2,570,571,,face/btn_icon_bonnie_1,pet,571001,CannonGirlSmall,face/face_bonnie,TID_CANNON_GIRL,TID_CANNON_GIRL_DESC,bonnie,marksman,4,epic,FB00FFFF,3100,855,매우 빠름,,,,1,5710011,,,,,1,5710021,,,,,5710031,5710032,5710041,5710042,5710051,5,20,5,0,,
580,,,,,,hero,580001,Silencer,face/face_otis,TID_SILENCER,TID_SILENCER_DESC,otis,controller,5,mega_epic,FF003CFF,3600,750,매우 빠름,,,,1,5800011,,,,,1,5800021,,,,,5800031,5800032,5800041,5800042,5800051,5,20,5,0,"cc,",
590,,,,,,hero,590001,WeaponThrower,face/face_sam,TID_WEAPON_THROWER,TID_WEAPON_THROWER_DESC,sam,assassin,4,epic,FB00FFFF,5700,800,매우 빠름,,,,1,5900011,,,,,1,5900021,,,,,5900031,5900032,5900041,5900042,5900051,5,20,5,0,"heal(s),cc,cc,",
600,,,,,,hero,600001,SoulCollector,face/face_gus,TID_SOUL_COLLECTOR,TID_SOUL_COLLECTOR_DESC,gus,support,3,super_rare,0B54FFFF,3300,750,매우 빠름,,,,1,6000011,,,,,1,6000021,,,,,6000031,6000032,6000041,6000042,6000051,5,20,5,1,"heal(s),heal(t),cc,",
610,,,,,,hero,610001,ShieldTank,face/face_buster,TID_SHIELD_TANK,TID_SHIELD_TANK_DESC,buster,tank,5,mega_epic,FF003CFF,5000,800,매우 빠름,,,,1,6100011,,,,,1,6100021,,,,,6100031,6100032,6100041,6100042,6100051,5,20,5,0,"heal(s),heal(t),cc,",
620,,,,,,hero,620001,Jester,face/face_chester,TID_JESTER,TID_JESTER_DESC,chester,damage_dealer,6,legendary,FFEE0BFF,3800,800,매우 빠름,,,,1,6200011,,,,,5,6200021,6200022,6200023,6200024,6200025,6200031,6200032,6200041,6200042,6200051,5,20,5,0,"cc,break,cc,cc,",
630,,,,,,hero,630001,DoorMan,face/face_gray,TID_DOORMAN,TID_DOORMAN_DESC,gray,support,5,mega_epic,FF003CFF,3400,750,매우 빠름,,,,1,6300011,,,,,1,6300021,,,,,6300031,6300032,6300041,6300042,6300051,5,20,5,0,"heal(s),heal(t),cc,",
640,,,,,,hero,640001,Beamer,face/face_mandy,TID_BEAMER,TID_BEAMER_DESC,mandy,marksman,4,epic,FB00FFFF,3000,750,매우 빠름,,,,1,6400011,,,,,1,6400021,,,,,6400031,6400032,6400041,6400042,6400051,5,20,5,0,"cc,",
650,2,650,651,,face/btn_icon_rt_0,hero,650001,Splitter,face/face_rt,TID_SPLITTER,TID_SPLITTER_DESC,rt,damage_dealer,5,mega_epic,FF003CFF,4100,750,매우 빠름,,,,1,6500011,,,,,1,6500021,,,,,6500031,6500032,6500041,6500042,6500051,5,20,5,0,,
651,2,650,651,,face/btn_icon_rt_1,pet,651001,SplitterLegs,face/face_rt,TID_SPLITTER,TID_SPLITTER_DESC,rt,,5,mega_epic,FF003CFF,3900,580,매우 느림,,,,1,6510011,,,,,1,6510021,,,,,6510031,6510032,6510041,6510042,6510051,,,,,"heal(s),",
660,,,,,,hero,660001,Puppeteer,face/face_willow,TID_PUPPETEER,TID_PUPPETEER_DESC,willow,controller,5,mega_epic,FF003CFF,3300,750,매우 빠름,,,,1,6600011,,,,,1,6600021,,,,,6600031,6600032,6600041,6600042,6600051,5,20,5,0,"cc,",
670,,,,,,hero,670001,Maisie,face/face_maisie,TID_MAISIE,TID_MAISIE_DESC,maisie,marksman,4,epic,FB00FFFF,4000,750,매우 빠름,,,,1,6700011,,,,,1,6700021,,,,,6700031,6700032,6700041,6700042,6700051,5,20,5,0,"cc,cc,cc,",
680,,,,,,hero,680001,FishTank,face/face_hank,TID_FISHTANK,TID_FISHTANK_DESC,hank,tank,4,epic,FB00FFFF,5500,750,매우 빠름,,,240,1,6800011,,,,,1,6800021,,,,,6800031,6800032,6800041,6800042,6800051,5,20,5,0,"heal(s),cc,tank,",
690,,,,,,hero,690001,Duelist,face/face_cordelius,TID_DUELIST,TID_DUELIST_DESC,cordelius,assassin,6,legendary,FFEE0BFF,3500,855,매우 빠름,,,,1,6900011,,,,,1,6900021,,,,,6900031,6900032,6900041,6900042,6900051,5,20,5,0,"cc,heal(s),heal(t),cc,",
700,,,,,,hero,700001,Reviver,face/face_doug,TID_REVIVER,TID_REVIVER_DESC,doug,support,5,mega_epic,FF003CFF,5200,800,매우 빠름,,,,1,7000011,,,,,1,7000021,,,,,7000031,7000032,7000041,7000042,7000051,5,20,5,0,"heal(t),heal(s),heal(t),heal(s),heal(t),",
710,,,,,,hero,710001,Cooker,face/face_pearl,TID_COOKER,TID_COOKER_DESC,pearl,damage_dealer,4,epic,FB00FFFF,4300,750,매우 빠름,,,,1,7100011,,,,,1,7100021,,,,,7100031,7100032,7100041,7100042,7100051,5,20,5,0,"cc,break,heal(t),",
720,,,,,,hero,720001,Conductor,face/face_chuck,TID_CONDUCTOR,TID_CONDUCTOR_DESC,chuck,controller,5,mega_epic,FF003CFF,4400,800,매우 빠름,,,,1,7200011,,,,,1,7200021,,,,,7200031,7200032,7200041,7200042,7200051,5,20,5,1,"cc,",
730,,,,,,hero,730001,Cocooner,face/face_charlie,TID_COCOONER,TID_COCOONER_DESC,charlie,controller,5,mega_epic,FF003CFF,3700,750,매우 빠름,,,,1,7300011,,,,,1,7300021,,,,,7300031,7300032,7300041,7300042,7300051,5,20,5,0,"cc,heal(s),",
740,,,,,,hero,740001,Leaper,face/face_mico,TID_LEAPER,TID_LEAPER_DESC,mico,assassin,5,mega_epic,FF003CFF,3500,855,매우 빠름,,,,1,7400011,,,,,1,7400021,,,,,7400031,7400032,7400041,7400042,7400051,5,20,5,0,"cc,cc,",
750,,,,,,hero,750001,Attacher,face/face_kit,TID_ATTACHER,TID_ATTACHER_DESC,kit,support,6,legendary,FFEE0BFF,3100,855,매우 빠름,,,,2,7500011,7500012,,,,1,7500021,,,,,7500031,7500032,7500041,7500042,7500051,5,20,5,0,"cc,auto,",
760,,,,,,hero,760001,Twins,face/face_larry,TID_TWINS,TID_TWINS_DESC,larry,artillery,4,epic,FB00FFFF,3000,800,매우 빠름,,,,1,7600011,,,,,1,7600021,,,,,7600031,7600032,7600041,7600042,7600051,5,20,5,0,"heal(s),",
770,,,,,,hero,770001,InsectMan,face/face_angelo,TID_INSECTMAN,TID_INSECTMAN_DESC,angelo,marksman,4,epic,FB00FFFF,3100,855,매우 빠름,,,,1,7700011,,,,,1,7700021,,,,,7700031,7700032,7700041,7700042,7700051,5,20,5,0,"heal(s),heal(t),water,",
780,,,,,,hero,780001,AxeJuggler,face/face_melodie,TID_AXE_JUGGLER,TID_AXE_JUGGLER_DESC,melodie,assassin,5,mega_epic,FF003CFF,4000,750,매우 빠름,,,,1,7800011,,,,,1,7800021,,,,,7800031,7800032,7800041,7800042,7800051,5,20,5,0,,
790,,,,,,hero,790001,Ambusher,face/face_lily,TID_AMBUSHER,TID_AMBUSHER_DESC,lily,assassin,5,mega_epic,FF003CFF,4200,855,매우 빠름,,,,1,7900011,,,,,1,7900021,,,,,7900031,7900032,7900041,7900042,7900051,5,20,5,0,,
800,,,,,,hero,800001,DragonRider,face/face_draco,TID_DRAGON_RIDER,TID_DRAGON_RIDER_DESC,draco,tank,6,legendary,FFEE0BFF,5600,750,매우 빠름,,,240,1,8000011,,,,,1,8000021,,,,,8000031,8000032,8000041,8000042,8000051,5,20,5,0,"heal(s),cc,tank,",
810,,,,,,hero,810001,Painter,face/face_berry,TID_PAINTER,TID_PAINTER_DESC,berry,support,4,epic,FB00FFFF,2600,750,매우 빠름,,,,1,8100011,,,,,1,8100021,,,,,8100031,8100032,8100041,8100042,8100051,5,20,5,0,"heal(s),heal(t),heal(s),heal(t),cc,heal(s),heal(t),",
820,,,,,,hero,820001,Crab,face/face_clancy,TID_CRAB,TID_CRAB_DESC,clancy,damage_dealer,5,mega_epic,FF003CFF,3800,750,매우 빠름,,,,1,8200011,,,,,1,8200021,,,,,8200031,8200032,8200041,8200042,8200051,5,20,5,0,,
830,2,830,831,,face/btn_icon_moe_0,hero,830001,Digger,face/face_moe,TID_DIGGER,TID_DIGGER_DESC,moe,damage_dealer,5,mega_epic,FF003CFF,3600,800,매우 빠름,,,,1,8300011,,,,,1,8300021,,,,,8300031,8300032,8300041,8300042,8300051,5,20,5,0,"cc,cc,break,",
831,2,830,831,,face/btn_icon_moe_1,pet,831001,DiggerDrill,face/face_moe,TID_DIGGER,TID_DIGGER_DESC,moe,tank,5,mega_epic,FF003CFF,3500,920,매우 빠름,,,,1,8310011,,,,,1,8310021,,,,,8310031,8310032,8310041,8310042,8310051,5,20,5,0,,
840,,,,,,hero,840001,Samurai,face/face_kenji,TID_SAMURAI,TID_SAMURAI_DESC,kenji,assassin,6,legendary,FFEE0BFF,4000,855,매우 빠름,,,,1,8400011,,,,,1,8400021,,,,,8400031,8400032,8400041,8400042,8400051,5,20,5,0,"heal(s),",
850,,,,,,hero,850001,Voodoo,face/face_juju,TID_VOODOO,TID_VOODOO_DESC,juju,artillery,5,mega_epic,FF003CFF,3100,750,매우 빠름,,,,3,8500011,8500012,8500013,,,1,8500021,,,,,8500031,8500032,8500041,8500042,8500051,5,20,5,0,"cc,cc,cc,water,",
860,,,,,,hero,860001,Ghost,face/face_shade,TID_GHOST,TID_GHOST_DESC,shade,assassin,4,epic,FB00FFFF,3700,855,매우 빠름,,,,1,8600011,,,,,1,8600021,,,,,8600031,8600032,8600041,8600042,8600051,5,20,5,1,"cc,water,",
