KEY_TEXT,TEXT_KOR,TEXT_ENG,TEXT_ES,TEXT_FR,TEXT_DE,TEXT_AR,TEXT_CN,TEXT_CNT,TEXT_FI,TEXT_HE,TEXT_ID,TEXT_IT,TEXT_JP,TEXT_MS,TEXT_NL,TEXT_PL,TEXT_PT,TEXT_RU,TEXT_TH,TEXT_TR,TEXT_VI,
Brawler,"브롤러","Brawlers","Brawlers","Brawlers","Brawler","الأبطال","英雄","英雄","Rämäpäät","בראולרים","Jagoan","Brawler","キャラクター","Brawler","Knokkers","Zadymiarze","Brawlers","Бойцы","บรอว์เลอร์","Savaşçılar","Chiến binh Brawl",
Map,"맵","Map","Mapa","Carte","Map","الخريطة","地图","地圖","Kartta","מפה","Peta","Mappa","マップ","peta","Kaart","Mapa","Mapa","Карта","แผนที่","Harita","Bản đồ",
MoreInfo,"추가 정보","More Info","Más info.","Plus d'infos","Mehr Infos","المزيد","更多信息","更多資訊","Lisätietoja","מידע נוסף","Info Lengkap","Altre info","詳細","Maklumat Lanjut","Meer info","Więcej informacji","Mais informações","Подробнее","ข้อมูลเพิ่มเติม","Daha Fazla Bilgi","Thêm thông tin",
Language,"언어","LANGUAGE","IDIOMA","LANGUE","SPRACHE","اللغة","语言","語言","KIELI","שפה","BAHASA","LINGUA","言語","BAHASA","TAAL","JĘZYK","IDIOMA","ЯЗЫК","ภาษา","DİL","NGÔN NGỮ",
Preparing,"준비 중","not ready","No listo","pas prêt","nicht bereit","غير مستعد","尚未就绪","尚未就緒","ei valmiina","לא מוכן","belum siap","non pronto","準備中","belum bersedia","niet klaar","brak gotowości","preparando","не готово","ยังไม่พร้อม","hazır değil","chưa sẵn sàng",
GEMGRAB,"젬 그랩","GEM GRAB","ATRAPAGEMAS","RAZZIA DE GEMMES","JUWELENJAGD","جمع الجواهر","宝石争霸","寶石爭奪戰","JALOKIVIKAAPPAUS","תופסים יהלומים","REBUT PERMATA","ARRAFFAGEMME","エメラルドハント","REBUT PERMATA","EDELSTENENGRAAI","ZBIORY KLEJNOTÓW","PIQUE-GEMA","ЗАХВАТ КРИСТАЛЛОВ","ศึกชิงอัญมณี","ELMAS KAPMACA","VƠ VÉT NGỌC",
HEIST,"하이스트","HEIST","ATRACO","BRAQUAGE","TRESORRAUB","السطو","金库攻防","金庫攻防戰","RYÖSTÖ","שוד","PENJARAHAN","RAPINA","強奪","ROMPAKAN","OVERVAL","NAPAD","ROUBO","ОГРАБЛЕНИЕ","ปล้นสะดม","SOYGUN","CƯỚP ĐOẠT",
BOUNTY,"바운티","BOUNTY","CAZA ESTELAR","PRIME","KOPFGELDJAGD","الجائزة","赏金猎人","搶星大作戰","PALKKIOJAHTI","שלל","BURONAN","RICERCATI","賞金稼ぎ","BURUAN","PREMIE","NAGRODA","CAÇA-ESTRELAS","НАГРАДА ЗА ПОИМКУ","ล่าค่าหัว","ÖDÜL AVI","SĂN SAO",
SHOWDOWN,"쇼다운","SHOWDOWN","SUPERVIVENCIA","SURVIVANT","SHOWDOWN","المواجهة الحاسمة","荒野决斗","荒野生死鬥","SELKKAUS","קרב מכריע","SHOWDOWN","SOPRAVVIVENZA","バトルロイヤル","SHOWDOWN","SHOWDOWN","STARCIE","COMBATE","СТОЛКНОВЕНИЕ","ศึกประจันหน้า","HESAPLAŞMA","SINH TỒN",
BRAWLBALL,"브롤 볼","BRAWL BALL","BALÓN BRAWL","BRAWLBALL","BRAWLBALL","كرة العراك","乱斗足球","亂鬥足球","RÄHINÄPALLO","כדור-בראולר","BOLA JAGOAN","FOOTBRAWL","ブロストライカー","BOLA BRAWL","KNOKBAL","ZADYMA","FUTE-BRAWL","БРОУЛБОЛ","ศึกชิงบอล","SAVAŞ TOPU","BÓNG BRAWL",
SIEGE,"혼령 전쟁","SPIRIT WARS","CONTIENDA ESPIRITUAL","GUERRES DES ESPRITS","GEISTERKRIEGE","حروب الأرواح","唤灵之战","靈魂戰場","HENKIEN SODAT","מלחמות של רוחות","PERANG LELEMBUT","ARMAGEDDON","スピリットウォー","PERANG ROH","GEESTENOORLOG","WOJNY DUCHÓW","CONFLITOS ESPIRITUAIS","ВОЙНА ПРИЗРАКОВ","ศึกดวงวิญญาณ","RUH SAVAŞLARI","CUỘC CHIẾN LINH HỒN",
WIPEOUT,"클린 아웃","WIPEOUT","ANIQUILACIÓN","CHASSE OUVERTE","ELIMINIERUNG","الإبادة","抢星大作战","奪星殲滅戰","TÄYSTUHO","חיסול","SIKAT HABIS","ANNIENTAMENTO","殲滅","PENGHAPUSAN","STERRENJACHT","BATALIA","EXTERMÍNIO","ЗАЧИСТКА","กวาดให้เกลี้ยง","TEMİZLİK","TRIỆT HẠ",
TID_HINT_HEADER,"TIP:","TIP:","CONSEJO:","Conseil :","TIPP:","ملحوظة:","提示：","提示：","VINKKI:","טיפ:","KIAT:","DRITTA","ヒント：","PETUA:","TIP:","WSKAZÓWKA:","DICA:","СОВЕТ:","เคล็ดลับ:","İPUCU:","MẸO:",
TID_HINT_0,"<color=#cc0033>빨간색 조이스틱</color>을 탭해서 가까이 있는 대상을 자동 조준할 수 있습니다.","You can TAP the <color=#cc0033>red control</color> to QUICKFIRE towards the closest enemy.","Toca el <color=#cc0033>control rojo</color> para autodisparar al enemigo más cercano.","Appuyez sur le <color=#cc0033>joystick rouge</color> pour faire feu rapidement sur l'ennemi le plus proche.","Du kannst den <color=#cc0033>roten Joystick</color> antippen, um automatisch auf den nächsten Feind zu schießen.","يمكنك الضغط على <color=#cc0033>وحدة التحكم الصفراء</color> للإطلاق السريع لضربة الزخم على أقرب عدو.","您可以点击<color=#cc0033>红色摇杆</color>，朝最近的敌人快速射击。","你可以點擊<color=#cc0033>紅色搖桿</color>，朝最近的敵人快速射擊。","Pikatulita lähintä vastustajaasi napauttamalla <color=#cc0033>punaista ohjainta.</color>","אפשר להקיש על <color=#cc0033>הסמן האדום</color> כדי לירות במהירות לעבר האויב הקרוב ביותר.","Kamu bisa MENGETUK <color=#cc0033>KONTROL MERAH</color> untuk MENEMBAK CEPAT lawan terdekat.","TOCCA la <color=#cc0033>levetta rossa</color> per COLPIRE RAPIDAMENTE il nemico più vicino.","<color=#cc0033>赤いコントローラー</color>をタップすると\n一番近くにいる敵をオートエイムできます。","Anda boleh KETIK <color=#cc0033>kawalan merah</color> untuk tembak pantas ke arah musuh terdekat.","Je kunt op de <color=#cc0033>rode joystick</color> tikken om snel te vuren op de dichtstbijzijnde vijand.","STUKNIJ <color=#cc0033>czerwony przycisk</color>, aby użyć SZYBKIEGO STRZAŁU w kierunku najbliższego wroga.","TOQUE no <color=#cc0033>controle vermelho</color> para ATIRAR RÁPIDO no inimigo mais próximo.","Чтобы открыть БЫСТРЫЙ ОГОНЬ по ближайшему врагу, НАЖМИ на <color=#cc0033>красный джойстик.</color>","คุณสามารถแตะ<color=#cc0033>แป้นควบคุมสีแดง</color>เพื่อใช้โจมตีทันใจใส่ศัตรูที่อยู่ใกล้ที่สุดได้","En yakın düşmana hızlı saldırı yapmak için <color=#cc0033>kırmızı düğmeye</color> dokunabilirsin.","Bạn có thể NHẤN vào <color=#cc0033>nút điều khiển màu đỏ</color> để BẮN NHANH vào kẻ địch ở gần nhất.",
TID_HINT_1,"<color=#ff9900>노란색 조이스틱</color>을 탭해서 가장 가까이 있는 대상에게 특수 공격을 자동 조준할 수 있습니다.","You can TAP the <color=#ff9900>yellow control</color> to QUICKFIRE your Super towards the closest enemy.","Toca el <color=#ff9900>control amarillo</color> para autodisparar tu súper al enemigo más cercano.","Appuyez sur le <color=#ff9900>joystick jaune</color> pour faire feu rapidement avec votre super sur l'ennemi le plus proche.","Du kannst den <color=#ff9900>gelben Joystick</color> antippen, um deinen Superskill automatisch gegen den nächsten Feind einzusetzen.","يمكنك الضغط على <color=#ff9900>وحدة التحكم الصفراء</color> للإطلاق السريع لضربة الزخم على أقرب عدو.","您可以点击<color=#ff9900>黄色摇杆</color>，朝最近的敌人快速释放超级技能。","你可以點擊<color=#ff9900>黃色搖桿</color>，朝最近的敵人快速釋放超級技能。","Pikatulita supervoimallasi lähintä vastustajaasi napauttamalla <color=#ff9900>keltaista ohjainta.</color>","אפשר להקיש על <color=#ff9900>הסמן הצהוב</color> כדי לירות במהירות את תכונת הסופר שלך לעבר האויב הקרוב ביותר.","Kamu bisa MENGETUK <color=#ff9900>KONTROL KUNING</color> untuk MENEMBAK CEPAT lawan terdekat dengan serangan Super.","TOCCA la <color=#ff9900>levetta gialla</color> per COLPIRE RAPIDAMENTE il nemico più vicino con la super.","<color=#ff9900>黄色いコントローラー</color>をタップすると\n一番近くの敵に必殺技をオートエイムできます。","Anda boleh KETIK <color=#ff9900>kawalan kuning</color> untuk tembak pantas Super anda ke arah musuh terdekat.","Je kunt op de <color=#ff9900>gele joystick</color> tikken om snel te vuren met je super op de dichtstbijzijnde vijand.","STUKNIJ <color=#ff9900>żółty przycisk</color>, aby użyć SZYBKIEGO STRZAŁU w ramach superataku na najbliższego wroga.","TOQUE no <color=#ff9900>controle amarelo</color> para usar seu Super RÁPIDO no inimigo mais próximo.","Чтобы открыть БЫСТРЫЙ ОГОНЬ по ближайшему врагу в режиме Супера, НАЖМИ на <color=#ff9900>жёлтый джойстик.</color>","คุณสามารถแตะ<color=#ff9900>แป้นควบคุมสีเหลือง</color>เพื่อใช้ท่าไม้ตายโจมตีทันใจใส่ศัตรูที่อยู่ใกล้ที่สุดได้","En yakın düşmana süper saldırını yapmak için <color=#ff9900>sarı düğmeye</color> dokunabilirsin.","Bạn có thể NHẤN vào <color=#ff9900>nút điều khiển màu vàng</color> để BẮN NHANH bằng Tuyệt chiêu vào kẻ địch ở gần nhất.",
TID_HINT_2,"<color=#cc0033>빨간색 조이스틱</color>을 드래그해서 공격을 조준할 수 있습니다.","You can DRAG the <color=#cc0033>red control</color> to AIM your shots.","Arrastra el <color=#cc0033>control rojo</color> para apuntar tus disparos.","Faites glisser le <color=#cc0033>joystick rouge</color> pour viser avant de tirer.","Du kannst den <color=#cc0033>roten Joystick</color> gedrückt halten und bewegen, um zu zielen.","يمكنك سحب <color=#cc0033>وحدة التحكم الحمراء</color> لتصويب طلقاتك.","您可以拖动<color=#cc0033>红色摇杆</color>进行瞄准射击。","你可以按住拖曳<color=#cc0033>紅色搖桿</color>進行瞄準射擊。","<color=#cc0033>Punaista ohjainta</color> vetämällä voit tähdätä laukauksesi.","אפשר לגרור את <color=#cc0033>הסמן האדום</color> כדי לכוון את היריות שלך.","Kamu bisa MENYERET <color=#cc0033>KONTROL MERAH</color> untuk MEMBIDIK tembakan.","TRASCINA la <color=#cc0033>levetta rossa</color> per MIRARE i colpi.","<color=#cc0033>赤いコントローラー</color>をドラッグすると\n攻撃をエイムできます。","Anda boleh SERET <color=#cc0033>kawalan merah</color> untuk MENYASARKAN tembakan anda.","Je kunt de <color=#cc0033>rode joystick</color> slepen om je aanval te richten.","PRZECIĄGNIJ <color=#cc0033>czerwony przycisk</color>, żeby WYCELOWAĆ strzał.","Arraste o <color=#cc0033>controle vermelho</color> para MIRAR os seus disparos.","Чтобы ПРИЦЕЛИТЬСЯ, ЗАЖМИ И ПОТЯНИ <color=#cc0033>красный джойстик</color>.","คุณสามารถลาก<color=#cc0033>แป้นควบคุมสีแดง</color>เพื่อเล็งการโจมตีปกติของคุณได้","Atışlarını hedeflemek için <color=#cc0033>kırmızı düğmeyi</color> sürükle.","Bạn có thể KÉO <color=#cc0033>nút điều khiển màu đỏ</color> để NHẮM MỤC TIÊU.",
TID_HINT_3,"<color=#ff9900>노란색 조이스틱</color>을 드래그해서 특수 공격을 조준할 수 있습니다.","You can DRAG the <color=#ff9900>yellow control</color> to AIM your Super.","Arrastra el <color=#ff9900>control amarillo</color> para apuntar tu súper.","Faites glisser le <color=#ff9900>joystick jaune</color> pour viser avec votre super.","Du kannst den <color=#ff9900>gelben Joystick</color> gedrückt halten und bewegen, um zu zielen!","يمكنك سحب <color=#ff9900>وحدة التحكم الصفراء</color> لتصويب ضربة الزخم.","您可以拖动<color=#ff9900>黄色摇杆</color>为超级技能瞄准。","你可以按住拖曳<color=#ff9900>黃色搖桿</color>以瞄準超級技能的目標。","<color=#ff9900>Keltaista ohjainta</color> vetämällä voit tähdätä supervoimasi.","אפשר לגרור את <color=#ff9900>הסמן הצהוב</color> כדי לכוון את תכונת הסופר שלך.","Kamu bisa MENYERET <color=#ff9900>KONTROL KUNING</color> untuk MEMBIDIK Super.","TRASCINA la <color=#ff9900>levetta gialla</color> per MIRARE la super.","<color=#ff9900>黄色いコントローラー</color>をドラッグすると\n必殺技をエイムできます。","Anda boleh SERET <color=#ff9900>kawalan kuning</color> untuk MENYASARKAN Super anda.","Je kunt de <color=#ff9900>gele joystick</color> slepen om je super te richten.","PRZECIĄGNIJ <color=#ff9900>żółty przycisk</color>, żeby WYCELOWAĆ superatak.","Arraste o <color=#ff9900>controle amarelo</color> para MIRAR o Super.","Чтобы НАВЕСТИ Супер НА ЦЕЛЬ, ЗАЖМИ И ПОТЯНИ <color=#ff9900>жёлтый джойстик.</color>","คุณสามารถลาก<color=#ff9900>แป้นควบคุมสีเหลือง</color>เพื่อเล็งท่าไม้ตายของคุณได้","Süper atışını hedeflemek için <color=#ff9900>sarı düğmeyi</color> sürükle.","Bạn có thể KÉO <color=#ff9900>nút điều khiển màu vàng</color> để NHẮM MỤC TIÊU bằng Tuyệt chiêu.",
TID_HINT_4,"조이스틱을 중앙으로 다시 가져오면 조준을 취소할 수 있습니다.","You can cancel an aimed shot by dragging the control back to the middle.","Arrastra el control al centro para dejar de apuntar.","Vous pouvez annuler un tir pour lequel vous visiez en ramenant le joystick vers le centre.","Du kannst einen vorbereiteten Schuss abbrechen, indem du den Joystick zurück in die Mitte bewegst.","يمكنك إلغاء الضربة المصوبة عن طريق سحب وحدة التحكم مرة أخرى إلى الوسط.","要取消瞄准，只需将摇杆拖回中间位置。","要取消瞄準，你只需將搖桿拖回中間位置。","Voit jättää tähdätyn laukauksen ampumatta vetämällä ohjaimen takaisin keskelle.","אפשר לבטל ירייה שכיוונת על-ידי גרירה של הסמן בחזרה למרכז.","Kamu bisa membatalkan bidikan dengan mengembalikan kontrol ke tengah.","Se non vuoi attaccare quando hai già preso la mira, trascina la levetta alla posizione iniziale.","コントローラーを中心に戻すことで\nエイムをキャンセルできます。","Anda boleh batalkan tembakan yang telah disasarkan dengan menyeret kawan kembali ke tengah.","Je kunt een gerichte aanval annuleren door de joystick terug naar het midden te slepen.","Możesz anulować wycelowany strzał, przeciągając przycisk z powrotem do środkowego położenia.","Cancele a mira do tiro ao arrastar o controle de volta ao meio.","Чтобы отменить наведение на цель, верни джойстик в начальное положение.","คุณสามารถยกเลิกการเล็งเป้าได้ด้วยการลากแป้นควบคุมกลับมาตรงกลาง","Nişan aldığın bir atışı iptal etmek için düğmeyi ortaya geri getirebilirsin.","Bạn có thể hủy nhắm mục tiêu bằng cách kéo nút điều khiển về phía chính giữa.",
TID_HINT_5,"매치메이킹은 선택된 브롤러의 트로피 수를 기준으로 하기 때문에 새로 얻은 브롤러 사용 시 트로피를 얻기 수월해집니다.","Matchmaking is based on the Trophies of the Brawler you are playing with. Making it easier to gain Trophies with a newly unlocked Brawler.","El emparejamiento tiene en cuenta los trofeos del brawler con el que estés jugando. Esto hace más fácil ganar trofeos con un brawler que acabas de desbloquear.","Le matchmaking est déterminé par les trophées du brawler avec lequel vous jouez. Gagner des trophées est donc plus facile avec un brawler que vous venez de débloquer.","Das Matchmaking richtet sich nach der Trophäenanzahl des Brawlers, mit dem du spielst. Dadurch ist es leichter, mit einem neu freigeschalteten Brawler Trophäen zu sammeln.","تتم المطابقة على أساس كؤوس البطل الذي تلعب به، مما يسهل الحصول على الكؤوس باستخدام بطل حصلت عليه مؤخرًا.","系统会根据您所选英雄的奖杯数为您匹配对手，使用新解锁的英雄会更容易冲杯。","獲得新英雄之後是衝盃的好時機，因為系統是根據你所選英雄的獎盃數為你配對對手的。","Ottelunmuodostus perustuu sen rämäpään pokaaleihin, jolla pelaat, joten juuri avaamillasi rämäpäillä on helpompi ansaita pokaaleja.","התאמות שחקן מבוססות על הגביעים של הבראולר שמשחקים איתו וכך קל יותר להרוויח גביעים עם בראולר שפתחת לאחרונה.","Pencarian lawan dilakukan berdasarkan jumlah Trofi Jagoan yang dimainkan. Oleh karena itu, Trofi bisa didapatkan lebih mudah dengan Jagoan yang baru didapatkan.","Il matchmaking si basa sul numero di trofei vinti con il brawler in uso, il che rende più facile ottenere trofei utilizzando brawler sbloccati di recente.","マッチメイキングはプレイに選んだキャラクターの\nトロフィー数に基づくため、新しくアンロックした\nキャラはトロフィーを獲得しやすくなります。","Pemadanan adalah berdasarkan trofi brawler yang anda main. Ini memudahkan anda mendapat trofi dengan brawler yang baru dibuka.","De koppelprocedure is gebaseerd op het aantal trofeeën van de knokker waarmee je vecht. Zo kun je makkelijker trofeeën verdienen met een pas ontgrendelde knokker.","Łączenie graczy jest oparte na pucharach Zadymiarza, którego wybrał gracz, dzięki czemu nowo odblokowanemu Zadymiarzowi łatwo zdobywać nowe puchary.","O pareamento é feito com base na quantidade de troféus do Brawler com que você está jogando. Assim, é mais fácil conseguir troféus com um Brawler recém-desbloqueado.","Подбор противников основан на количестве трофеев бойца, за которого ты играешь. Поэтому только что разблокированным бойцом собирать трофеи легче.","การจับคู่จะอ้างอิงจากถ้วยรางวัลของบรอว์เลอร์ที่คุณเล่นด้วย ทำให้การเพิ่มถ้วยรางวัลด้วยบรอว์เลอร์ที่เพิ่งถูกปลดล็อคมาใหม่ทำได้ง่าย","Eşleştirme, seçtiğin savaşçının kupa sayısına göre yapılır. Bu sayede yeni açtığın savaşçılarla kupa kazanmak daha kolaydır.","Tính năng ghép trận hoạt động dựa trên số Cúp của Chiến binh Brawl mà bạn đang chơi. Điều này sẽ giúp bạn kiếm Cúp bằng Chiến binh Brawl mới mở khóa dễ dàng hơn.",
TID_HINT_6,"브롤러를 더 많이 획득할수록 총 트로피 수를 올리기 쉬워지고, 더 많은 보상을 얻을 수 있습니다!","Getting more Brawlers will make it easier to advance in total Trophies and get more rewards.","Cuantos más brawlers tengas, más fácil será conseguir trofeos y más recompensas.","Débloquer plus de brawlers permet de gagner des trophées plus rapidement pour gagner plus de trophées et de récompenses.","Indem du mehr Brawler freischaltest, wird es einfacher, deine Gesamttrophäen zu erhöhen und dir mehr Belohnungen zu sichern.","الحصول على المزيد من الأبطال سيسهل التقدم في إجمالي الكؤوس والحصول على مزيد من المكافآت.","解锁的英雄越多，就越容易提升总奖杯数和获得奖励。","解鎖的英雄越多，就越容易提升總獎盃數和獲得獎勵。","Uusien rämäpäiden saaminen tekee pokaalimäärän kasvattamisen ja palkintojen hankkimisen helpommaksi.","אם תשיגו עוד בראולרים יהיה לכם קל יותר להתקדם במספר הגביעים הכולל ולהשיג פרסים נוספים.","Mendapatkan lebih banyak Jagoan akan memudahkanmu meraih lebih banyak total Trofi dan hadiah.","Trova nuovi brawler per aumentare il numero totale dei trofei più facilmente e ottenere più premi.","キャラクターをアンロックすればするほど、合計トロフィー数を伸ばしたり、報酬を獲得したりしやすくなります。","Mendapat lebih Brawler membuatkannya lebih mudah untuk maju dalam jumlah trofi dan mendapat lebih ganjaran.","Door meer knokkers te krijgen, kun je makkelijker een hoger trofeeëntotaal bereiken en meer beloningen verdienen.","Aby szybciej awansować w rankingu pucharowym i otrzymywać więcej nagród, wystarczy zdobywać kolejnych Zadymiarzy.","Quanto mais Brawlers tiver, mais fácil fica aumentar o total de troféus e conseguir mais recompensas.","Чем больше бойцов, тем проще собирать трофеи и получать награды.","การมีบรอว์เลอร์มากขึ้นจะทำให้การไต่อันดับเพิ่มถ้วยรางวัลรวมเป็นไปได้ง่ายและได้รับรางวัลเพิ่มขึ้น","Yeni savaşçılar edinmek toplam kupa sayısını artırmayı ve ödül almayı kolaylaştırır.","Càng có nhiều Chiến binh Brawl thì càng dễ dàng hơn để nâng tổng số Cúp và nhận được thêm phần thưởng.",
TID_HINT_7,"파이퍼는 대상이 멀리 있을수록 더 큰 피해를 줍니다.","Piper's shots do more damage the farther they travel.","Los disparos de Piper infligen más daño a mayor distancia.","Plus Polly tire de loin, plus elle inflige de dégâts.","Je weiter Pipers Schüsse fliegen, desto mehr Schaden richten sie an.","تلحق طلقات بايبر المزيد من الضرر كلما طال مداها.","佩佩发射的子弹飞行距离越远，造成的伤害越高。","小辣椒發射的子彈飛行距離越遠，造成的傷害越高。","Piperin laukaukset tekevät sitä enemmän tuhoa, mitä pidemmälle ne lentävät.","היריות של פייפר מזיקות יותר ככל שהן מגיעות ממרחק גדול יותר.","Makin jauh jarak tembakan Piper, kerusakan jadi makin besar.","I colpi di Piper provocano più danni se percorrono lunghe distanze.","エリザベスの攻撃は、離れたところにいる敵に\nより大きなダメージを与えます。","Semakin jauh tembakan Piper, semakin tinggi kerosakan ditimbul.","Pipers schoten richten meer schade aan naarmate ze een langere afstand afleggen.","Strzały Piper zadają tym większe obrażenia, im dalej lecą.","Os disparos da Piper causam mais dano ao atingirem longas distâncias.","Чем дальше цель, тем больше урона наносят выстрелы Пайпер.","กระสุนของไพเพอร์จะสร้างความเสียหายเพิ่มขึ้นตามระยะทาง","Piper'ın atışları ne kadar uzağa giderse o kadar fazla hasar verir.","Phát bắn của Piper bay càng xa thì càng gây ra nhiều sát thương hơn.",
TID_HINT_8,"발리의 특수 공격은 근거리에서 특히 강력합니다. 가까이 있는 적에게 병을 던지세요!","Barley's Super is especially powerful at short range, because the bottles land within a small area.","El súper de Barley es especialmente potente a corta distancia porque las botellas caen en un área pequeña.","Le super de Bartaba est très puissant à bout portant, car les bouteilles explosent dans une zone proche.","Barleys Superskill ist besonders auf nahe Entfernung effektiv, da seine Flaschen so dichter beieinander landen.","ضربة الزخم الخاصة ببارلي فعالة في النطاق القصير لأن الزجاجات تسقط في منطقة محدودة.","巴利的超级技能攻击距离越近，威力越大，因为近距离时瓶子会集中落在一个很小的范围内。","保力的超級技能攻擊距離越近，威力越大，因為近距離時燃燒瓶會集中落在較小的範圍內。","Barleyn supervoima on erityisen tehokas lyhyellä kantamalla, sillä pullot osuvat maahan pienellä alueella.","תכונת הסופר של בארלי יעילה במיוחד מטווח קצר כי הבקבוקים נוחתים באזור קטן.","Serangan Super Barley makin kuat pada jarak dekat karena botol jatuh di area yang lebih kecil.","La super di Bombardino causa un sacco di danni se usata da vicino, perché le bottiglie coprono un'area più ristretta.","バーリーの必殺技は、距離が近いほどボトルが\n集中するため、ダメージも大きくなります。","Super Barley terutamanya kuat pada jarak dekat sebab botol-botol akan mendarat di dalam satu kawasan kecil.","Barley's super is vooral krachtig op de korte afstand, omdat de flessen in een klein gebied landen.","Superatak Barleya jest wyjątkowo potężny z bliskiej odległości, ponieważ butelki lądują na niewielkim obszarze.","O Super do Barley é muito poderoso, sobretudo próximo ao inimigo, pois as garrafas caem próximas a ele.","Брошенные Барли бутылки приземляются недалеко, поэтому его Супер особенно эффективен на короткой дистанции.","ท่าไม้ตายของบาร์ลีย์จะรุนแรงเป็นพิเศษเมื่อใช้ในระยะใกล้ เนื่องจากขวดจะตกลงในพื้นที่เล็กๆ","Barley'in süper atışı, şişeler yakın yerlere düşeceğinden özellikle kısa mesafede büyük hasar verir.","Tuyệt chiêu của Barley đặc biệt rất mạnh trong phạm vi gần bởi vì các chai lọ có phạm vi rơi khá nhỏ.",
